j1,j2,U
1,2,0.000000
1,3,1.252993
1,4,0.000000
1,5,1.804310
1,6,1.708627
1,7,0.000000
1,8,1.588058
1,9,0.000000
1,10,1.729064
1,11,1.236154
1,12,0.000000
1,13,1.333283
1,14,0.000000
1,15,2.123460
1,16,1.766465
1,17,0.000000
1,18,0.924812
1,19,0.000000
1,20,1.707734
1,21,2.011872
1,22,0.000000
1,23,1.437506
1,24,0.000000
1,25,1.126615
1,26,1.866596
1,27,0.000000
1,28,1.525409
1,29,0.000000
1,30,1.818386
2,1,0.000000
2,3,1.252993
2,4,1.522386
2,5,0.939745
2,6,0.000000
2,7,0.789386
2,8,1.289008
2,9,1.217909
2,10,0.845461
2,11,0.000000
2,12,0.947376
2,13,1.467866
2,14,1.133062
2,15,0.937010
2,16,0.000000
2,17,0.929461
2,18,1.483000
2,19,1.516976
2,20,0.878433
2,21,0.000000
2,22,0.936199
2,23,1.158439
2,24,1.403352
2,25,0.973715
2,26,0.000000
2,27,0.846232
2,28,1.261765
2,29,1.327900
2,30,0.783318
3,1,1.252993
3,2,1.252993
3,4,0.000000
3,5,0.939745
3,6,0.854313
3,7,1.657710
3,8,0.840242
3,9,0.000000
3,10,1.059051
3,11,0.926813
3,12,1.452643
3,13,0.595121
3,14,0.000000
3,15,0.883929
3,16,1.332233
3,17,1.588569
3,18,0.600934
3,19,0.000000
3,20,0.587078
3,21,1.584629
3,22,1.433531
3,23,0.856235
3,24,0.000000
3,25,0.630904
3,26,1.594879
3,27,0.836585
3,28,1.027121
3,29,0.000000
3,30,0.860487
4,1,0.000000
4,2,1.522386
4,3,0.000000
4,5,1.804310
4,6,0.000000
4,7,1.657710
4,8,0.000000
4,9,2.055222
4,10,1.237852
4,11,0.000000
4,12,1.363775
4,13,0.000000
4,14,2.184845
4,15,1.112175
4,16,0.000000
4,17,0.858701
4,18,0.000000
4,19,1.892577
4,20,1.807527
4,21,0.000000
4,22,0.829560
4,23,0.000000
4,24,1.203684
4,25,2.196396
4,26,0.000000
4,27,1.388250
4,28,0.000000
4,29,1.251783
4,30,1.907308
5,1,1.804310
5,2,0.939745
5,3,0.939745
5,4,1.804310
5,6,1.708627
5,7,0.789386
5,8,0.840242
5,9,2.055222
5,10,0.630388
5,11,1.871579
5,12,0.790883
5,13,0.892390
5,14,1.550970
5,15,0.591823
5,16,2.075432
5,17,0.991906
5,18,0.932323
5,19,1.540314
5,20,0.588566
5,21,1.509559
5,22,0.970227
5,23,1.011606
5,24,1.919907
5,25,0.563687
5,26,1.665530
5,27,0.936975
5,28,0.774676
5,29,1.767875
5,30,0.651827
6,1,1.708627
6,2,0.000000
6,3,0.854313
6,4,0.000000
6,5,1.708627
6,7,0.000000
6,8,1.289008
6,9,0.000000
6,10,1.237852
6,11,1.871579
6,12,0.000000
6,13,1.706113
6,14,0.000000
6,15,1.856172
6,16,1.721145
6,17,0.000000
6,18,1.349244
6,19,0.000000
6,20,2.057596
6,21,2.171721
6,22,0.000000
6,23,1.251400
6,24,0.000000
6,25,1.623776
6,26,1.888528
6,27,0.000000
6,28,1.732548
6,29,0.000000
6,30,1.757445
7,1,0.000000
7,2,0.789386
7,3,1.657710
7,4,1.657710
7,5,0.789386
7,6,0.000000
7,8,1.588058
7,9,1.217909
7,10,1.059051
7,11,0.000000
7,12,0.790883
7,13,1.706113
7,14,0.969760
7,15,1.083764
7,16,0.000000
7,17,1.115718
7,18,1.452429
7,19,1.211837
7,20,1.118589
7,21,0.000000
7,22,0.988125
7,23,1.214240
7,24,1.663246
7,25,1.087756
7,26,0.000000
7,27,1.054807
7,28,0.962306
7,29,1.485015
7,30,0.831700
8,1,1.588058
8,2,1.289008
8,3,0.840242
8,4,0.000000
8,5,0.840242
8,6,1.289008
8,7,1.588058
8,9,0.000000
8,10,0.845461
8,11,0.926813
8,12,1.363775
8,13,0.892390
8,14,0.000000
8,15,1.083764
8,16,1.265266
8,17,1.344399
8,18,0.592327
8,19,0.000000
8,20,0.842404
8,21,1.610892
8,22,1.698768
8,23,0.853519
8,24,0.000000
8,25,0.596939
8,26,1.422341
8,27,1.289403
8,28,1.022074
8,29,0.000000
8,30,0.952835
9,1,0.000000
9,2,1.217909
9,3,0.000000
9,4,2.055222
9,5,2.055222
9,6,0.000000
9,7,1.217909
9,8,0.000000
9,10,1.729064
9,11,0.000000
9,12,1.452643
9,13,0.000000
9,14,1.550970
9,15,1.856172
9,16,0.000000
9,17,1.344399
