j1,j2,note
1,2,R3=0 (dead-sets tile Z/q at some small prime)
1,4,R3=0 (dead-sets tile Z/q at some small prime)
1,7,R3=0 (dead-sets tile Z/q at some small prime)
1,9,R3=0 (dead-sets tile Z/q at some small prime)
1,12,R3=0 (dead-sets tile Z/q at some small prime)
1,14,R3=0 (dead-sets tile Z/q at some small prime)
1,17,R3=0 (dead-sets tile Z/q at some small prime)
1,19,R3=0 (dead-sets tile Z/q at some small prime)
1,22,R3=0 (dead-sets tile Z/q at some small prime)
1,24,R3=0 (dead-sets tile Z/q at some small prime)
1,27,R3=0 (dead-sets tile Z/q at some small prime)
1,29,R3=0 (dead-sets tile Z/q at some small prime)
2,1,R3=0 (dead-sets tile Z/q at some small prime)
2,6,R3=0 (dead-sets tile Z/q at some small prime)
2,11,R3=0 (dead-sets tile Z/q at some small prime)
2,16,R3=0 (dead-sets tile Z/q at some small prime)
2,21,R3=0 (dead-sets tile Z/q at some small prime)
2,26,R3=0 (dead-sets tile Z/q at some small prime)
3,4,R3=0 (dead-sets tile Z/q at some small prime)
3,9,R3=0 (dead-sets tile Z/q at some small prime)
3,14,R3=0 (dead-sets tile Z/q at some small prime)
3,19,R3=0 (dead-sets tile Z/q at some small prime)
3,24,R3=0 (dead-sets tile Z/q at some small prime)
3,29,R3=0 (dead-sets tile Z/q at some small prime)
4,1,R3=0 (dead-sets tile Z/q at some small prime)
4,3,R3=0 (dead-sets tile Z/q at some small prime)
4,6,R3=0 (dead-sets tile Z/q at some small prime)
4,8,R3=0 (dead-sets tile Z/q at some small prime)
4,11,R3=0 (dead-sets tile Z/q at some small prime)
4,13,R3=0 (dead-sets tile Z/q at some small prime)
4,16,R3=0 (dead-sets tile Z/q at some small prime)
4,18,R3=0 (dead-sets tile Z/q at some small prime)
4,21,R3=0 (dead-sets tile Z/q at some small prime)
4,23,R3=0 (dead-sets tile Z/q at some small prime)
4,26,R3=0 (dead-sets tile Z/q at some small prime)
4,28,R3=0 (dead-sets tile Z/q at some small prime)
6,2,R3=0 (dead-sets tile Z/q at some small prime)
6,4,R3=0 (dead-sets tile Z/q at some small prime)
6,7,R3=0 (dead-sets tile Z/q at some small prime)
6,9,R3=0 (dead-sets tile Z/q at some small prime)
6,12,R3=0 (dead-sets tile Z/q at some small prime)
6,14,R3=0 (dead-sets tile Z/q at some small prime)
6,17,R3=0 (dead-sets tile Z/q at some small prime)
6,19,R3=0 (dead-sets tile Z/q at some small prime)
6,22,R3=0 (dead-sets tile Z/q at some small prime)
6,24,R3=0 (dead-sets tile Z/q at some small prime)
6,27,R3=0 (dead-sets tile Z/q at some small prime)
6,29,R3=0 (dead-sets tile Z/q at some small prime)
7,1,R3=0 (dead-sets tile Z/q at some small prime)
7,6,R3=0 (dead-sets tile Z/q at some small prime)
7,11,R3=0 (dead-sets tile Z/q at some small prime)
7,16,R3=0 (dead-sets tile Z/q at some small prime)
7,21,R3=0 (dead-sets tile Z/q at some small prime)
7,26,R3=0 (dead-sets tile Z/q at some small prime)
8,4,R3=0 (dead-sets tile Z/q at some small prime)
8,9,R3=0 (dead-sets tile Z/q at some small prime)
8,14,R3=0 (dead-sets tile Z/q at some small prime)
8,19,R3=0 (dead-sets tile Z/q at some small prime)
8,24,R3=0 (dead-sets tile Z/q at some small prime)
8,29,R3=0 (dead-sets tile Z/q at some small prime)
9,1,R3=0 (dead-sets tile Z/q at some small prime)
9,3,R3=0 (dead-sets tile Z/q at some small prime)
9,6,R3=0 (dead-sets tile Z/q at some small prime)
9,8,R3=0 (dead-sets tile Z/q at some small prime)
9,11,R3=0 (dead-sets tile Z/q at some small prime)
9,13,R3=0 (dead-sets tile Z/q at some small prime)
9,16,R3=0 (dead-sets tile Z/q at some small prime)
9,18,R3=0 (dead-sets tile Z/q at some small prime)
9,21,R3=0 (dead-sets tile Z/q at some small prime)
9,23,R3=0 (dead-sets tile Z/q at some small prime)
9,26,R3=0 (dead-sets tile Z/q at some small prime)
9,28,R3=0 (dead-sets tile Z/q at some small prime)
11,2,R3=0 (dead-sets tile Z/q at some small prime)
11,4,R3=0 (dead-sets tile Z/q at some small prime)
11,7,R3=0 (dead-sets tile Z/q at some small prime)
11,9,R3=0 (dead-sets tile Z/q at some small prime)
11,12,R3=0 (dead-sets tile Z/q at some small prime)
11,14,R3=0 (dead-sets tile Z/q at some small prime)
11,17,R3=0 (dead-sets tile Z/q at some small prime)
11,19,R3=0 (dead-sets tile Z/q at some small prime)
11,22,R3=0 (dead-sets tile Z/q at some small prime)
11,24,R3=0 (dead-sets tile Z/q at some small prime)
11,27,R3=0 (dead-sets tile Z/q at some small prime)
11,29,R3=0 (dead-sets tile Z/q at some small prime)
12,1,R3=0 (dead-sets tile Z/q at some small prime)
12,6,R3=0 (dead-sets tile Z/q at some small prime)
12,11,R3=0 (dead-sets tile Z/q at some small prime)
12,16,R3=0 (dead-sets tile Z/q at some small prime)
12,21,R3=0 (dead-sets tile Z/q at some small prime)
12,26,R3=0 (dead-sets tile Z/q at some small prime)
13,4,R3=0 (dead-sets tile Z/q at some small prime)
13,9,R3=0 (dead-sets tile Z/q at some small prime)
13,14,R3=0 (dead-sets tile Z/q at some small prime)
13,19,R3=0 (dead-sets tile Z/q at some small prime)
13,24,R3=0 (dead-sets tile Z/q at some small prime)
13,29,R3=0 (dead-sets tile Z/q at some small prime)
14,1,R3=0 (dead-sets tile Z/q at some small prime)
14,3,R3=0 (dead-sets tile Z/q at some small prime)
14,6,R3=0 (dead-sets tile Z/q at some small prime)
14,8,R3=0 (dead-sets tile Z/q at some small prime)
14,11,R3=0 (dead-sets tile Z/q at some small prime)
14,13,R3=0 (dead-sets tile Z/q at some small prime)
14,16,R3=0 (dead-sets tile Z/q at some small prime)
14,18,R3=0 (dead-sets tile Z/q at some small prime)
14,21,R3=0 (dead-sets tile Z/q at some small prime)
14,23,R3=0 (dead-sets tile Z/q at some small prime)
14,26,R3=0 (dead-sets tile Z/q at some small prime)
14,28,R3=0 (dead-sets tile Z/q at some small prime)
16,2,R3=0 (dead-sets tile Z/q at some small prime)
16,4,R3=0 (dead-sets tile Z/q at some small prime)
16,7,R3=0 (dead-sets tile Z/q at some small prime)
16,9,R3=0 (dead-sets tile Z/q at some small prime)
16,12,R3=0 (dead-sets tile Z/q at some small prime)
16,14,R3=0 (dead-sets tile Z/q at some small prime)
16,17,R3=0 (dead-sets tile Z/q at some small prime)
16,19,R3=0 (dead-sets tile Z/q at some small prime)
16,22,R3=0 (dead-sets tile Z/q at some small prime)
16,24,R3=0 (dead-sets tile Z/q at some small prime)
16,27,R3=0 (dead-sets tile Z/q at some small prime)
16,29,R3=0 (dead-sets tile Z/q at some small prime)
17,1,R3=0 (dead-sets tile Z/q at some small prime)
17,6,R3=0 (dead-sets tile Z/q at some small prime)
17,11,R3=0 (dead-sets tile Z/q at some small prime)
17,16,R3=0 (dead-sets tile Z/q at some small prime)
17,21,R3=0 (dead-sets tile Z/q at some small prime)
17,26,R3=0 (dead-sets tile Z/q at some small prime)
18,4,R3=0 (dead-sets tile Z/q at some small prime)
18,9,R3=0 (dead-sets tile Z/q at some small prime)
18,14,R3=0 (dead-sets tile Z/q at some small prime)
18,19,R3=0 (dead-sets tile Z/q at some small prime)
18,24,R3=0 (dead-sets tile Z/q at some small prime)
18,29,R3=0 (dead-sets tile Z/q at some small prime)
19,1,R3=0 (dead-sets tile Z/q at some small prime)
19,3,R3=0 (dead-sets tile Z/q at some small prime)
19,6,R3=0 (dead-sets tile Z/q at some small prime)
19,8,R3=0 (dead-sets tile Z/q at some small prime)
19,11,R3=0 (dead-sets tile Z/q at some small prime)
19,13,R3=0 (dead-sets tile Z/q at some small prime)
19,16,R3=0 (dead-sets tile Z/q at some small prime)
19,18,R3=0 (dead-sets tile Z/q at some small prime)
19,21,R3=0 (dead-sets tile Z/q at some small prime)
19,23,R3=0 (dead-sets tile Z/q at some small prime)
19,26,R3=0 (dead-sets tile Z/q at some small prime)
19,28,R3=0 (dead-sets tile Z/q at some small prime)
21,2,R3=0 (dead-sets tile Z/q at some small prime)
21,4,R3=0 (dead-sets tile Z/q at some small prime)
21,7,R3=0 (dead-sets tile Z/q at some small prime)
21,9,R3=0 (dead-sets tile Z/q at some small prime)
21,12,R3=0 (dead-sets tile Z/q at some small prime)
21,14,R3=0 (dead-sets tile Z/q at some small prime)
21,17,R3=0 (dead-sets tile Z/q at some small prime)
21,19,R3=0 (dead-sets tile Z/q at some small prime)
21,22,R3=0 (dead-sets tile Z/q at some small prime)
21,24,R3=0 (dead-sets tile Z/q at some small prime)
21,27,R3=0 (dead-sets tile Z/q at some small prime)
21,29,R3=0 (dead-sets tile Z/q at some small prime)
22,1,R3=0 (dead-sets tile Z/q at some small prime)
22,6,R3=0 (dead-sets tile Z/q at some small prime)
22,11,R3=0 (dead-sets tile Z/q at some small prime)
22,16,R3=0 (dead-sets tile Z/q at some small prime)
22,21,R3=0 (dead-sets tile Z/q at some small prime)
22,26,R3=0 (dead-sets tile Z/q at some small prime)
23,4,R3=0 (dead-sets tile Z/q at some small prime)
23,9,R3=0 (dead-sets tile Z/q at some small prime)
23,14,R3=0 (dead-sets tile Z/q at some small prime)
23,19,R3=0 (dead-sets tile Z/q at some small prime)
23,24,R3=0 (dead-sets tile Z/q at some small prime)
23,29,R3=0 (dead-sets tile Z/q at some small prime)
24,1,R3=0 (dead-sets tile Z/q at some small prime)
24,3,R3=0 (dead-sets tile Z/q at some small prime)
24,6,R3=0 (dead-sets tile Z/q at some small prime)
24,8,R3=0 (dead-sets tile Z/q at some small prime)
24,11,R3=0 (dead-sets tile Z/q at some small prime)
24,13,R3=0 (dead-sets tile Z/q at some small prime)
24,16,R3=0 (dead-sets tile Z/q at some small prime)
24,18,R3=0 (dead-sets tile Z/q at some small prime)
24,21,R3=0 (dead-sets tile Z/q at some small prime)
24,23,R3=0 (dead-sets tile Z/q at some small prime)
24,26,R3=0 (dead-sets tile Z/q at some small prime)
24,28,R3=0 (dead-sets tile Z/q at some small prime)
26,2,R3=0 (dead-sets tile Z/q at some small prime)
26,4,R3=0 (dead-sets tile Z/q at some small prime)
26,7,R3=0 (dead-sets tile Z/q at some small prime)
26,9,R3=0 (dead-sets tile Z/q at some small prime)
26,12,R3=0 (dead-sets tile Z/q at some small prime)
26,14,R3=0 (dead-sets tile Z/q at some small prime)
26,17,R3=0 (dead-sets tile Z/q at some small prime)
26,19,R3=0 (dead-sets tile Z/q at some small prime)
26,22,R3=0 (dead-sets tile Z/q at some small prime)
26,24,R3=0 (dead-sets tile Z/q at some small prime)
26,27,R3=0 (dead-sets tile Z/q at some small prime)
26,29,R3=0 (dead-sets tile Z/q at some small prime)
27,1,R3=0 (dead-sets tile Z/q at some small prime)
27,6,R3=0 (dead-sets tile Z/q at some small prime)
27,11,R3=0 (dead-sets tile Z/q at some small prime)
27,16,R3=0 (dead-sets tile Z/q at some small prime)
27,21,R3=0 (dead-sets tile Z/q at some small prime)
27,26,R3=0 (dead-sets tile Z/q at some small prime)
28,4,R3=0 (dead-sets tile Z/q at some small prime)
28,9,R3=0 (dead-sets tile Z/q at some small prime)
